FAA Site Number,Loc ID,Airport Name,Associated City,State,Region,ADO,Use,Latitude,Longitude,Airport Ownership,Part 139,NPIAS Service Level,NPIAS Hub Type,Airport Control Tower,Fuel,Other Services,Based Aircraft Total,Total Operations,Runway Identifier,Surface Type,Runway Length, Runway Width
01771.5*A,9CL3,LIKELY,LIKELY,CA,AWP,SFO,PR,41-14-24.6210N,120-31-33.8320W,PR,,NON-NPIAS,,N,,,0,0	,06/24	,GRAVEL,1960,50 
02119.3*A,CA21,LIMBERLOST RANCH,ROUGH AND READY,CA,AWP,SFO,PR,39-13-14.6160N,121-12-53.8430W,PR,,NON-NPIAS,,N,,,1,0	,10/28	,TURF,1700,100 
01772.*A,LHM,LINCOLN RGNL/KARL HARDER FIELD,LINCOLN,CA,AWP,SFO,PU,38-54-33.0000N,121-21-04.8000W,PU,,Reliever,,N,100LLA,AVNCS  CHTR  INSTR  RNTL  SALES,181,74400	,15/33	,ASPH-G,6001,100 
01754.11*A,1CL1,LITTLE BUTTES ANTIQUE AIRFIELD,LANCASTER,CA,AWP,LAX,PR,34-47-38.9290N,118-16-39.2770W,PR,,NON-NPIAS,,N,,,9,0	,06/24	,TURF,2900,80 
02224.*A,59CA,LITTLE HANDS,SAN RAMON,CA,AWP,SFO,PR,37-48-11.7360N,122-01-43.8620W,PR,,NON-NPIAS,,N,,,3,0	,18/36	,DIRT,1320,50 
01778.*A,LLR,LITTLE RIVER,LITTLE RIVER,CA,AWP,SFO,PU,39-15-43.4000N,123-45-13.6000W,PU,,General Aviation,,N,100LL,CHTR  INSTR,18,3000	,11/29	,ASPH-G,5249,100 
01779.2*A,LVK,LIVERMORE MUNI,LIVERMORE,CA,AWP,SFO,PU,37-41-36.2000N,121-49-13.3000W,PU,,Reliever,,Y,100LLA,AVNCS  CHTR  INSTR  RNTL  SALES,457,143759	,07L/25R	,ASPH-E,5253,100 
01779.2*A,LVK,LIVERMORE MUNI,LIVERMORE,CA,AWP,SFO,PU,37-41-36.2000N,121-49-13.3000W,PU,,Reliever,,Y,100LLA,AVNCS  CHTR  INSTR  RNTL  SALES,457,143759	,07R/25L	,ASPH-F,2699,75 
02116.21*A,33CA,LLOYD'S LANDING,ROSAMOND,CA,AWP,LAX,PR,34-54-19.9120N,118-18-06.2810W,PR,,NON-NPIAS,,N,,,1,0	,06/24	,DIRT,2300,90 
02116.21*A,33CA,LLOYD'S LANDING,ROSAMOND,CA,AWP,LAX,PR,34-54-19.9120N,118-18-06.2810W,PR,,NON-NPIAS,,N,,,1,0	,11/29	,DIRT,1370,60 
01782.*A,1O3,LODI,LODI,CA,AWP,SFO,PU,38-12-08.9107N,121-16-09.0992W,PR,,NON-NPIAS,,N,100LLA,INSTR  PAJA  RNTL  SALES  SURV,170,36800	,08/26	,ASPH-F,3735,42 
01782.*A,1O3,LODI,LODI,CA,AWP,SFO,PU,38-12-08.9107N,121-16-09.0992W,PR,,NON-NPIAS,,N,100LLA,INSTR  PAJA  RNTL  SALES  SURV,170,36800	,12/30	,ASPH-F,2073,26 
01784.*A,L53,LODI AIRPARK,LODI,CA,AWP,SFO,PU,38-05-02.7130N,121-18-58.8130W,PR,,NON-NPIAS,,N,100LL,AGRI,5,12200	,07/25	,ASPH-F,1875,22 
01782.02*H,8CL7,LODI MEMORIAL HOSPITAL,LODI,CA,AWP,SFO,PR,38-07-20.7080N,121-17-12.8100W,PR,,NON-NPIAS,,N,,,0,0	,H1	,ASPH,690,177 
01242.1*A,53CL,LOFTY REDWOODS,ANCHOR BAY,CA,AWP,SFO,PR,38-51-34.6710N,123-35-26.0430W,PR,,NON-NPIAS,,N,,,1,0	,13/31	,GRVL-TRTD,3200,60 
02266.01*A,25CA,LOMA MADERA RANCH,SANTA YSABEL,CA,AWP,LAX,PR,33-10-45.1450N,116-47-33.0850W,PR,,NON-NPIAS,,N,,,1,0	,06/24	,ASPH,2300,40 
01788.2*A,LPC,LOMPOC,LOMPOC,CA,AWP,LAX,PU,34-39-56.2300N,120-28-03.0100W,PU,,General Aviation,,N,100LLA,AGRI  INSTR  RNTL,49,30000	,07/25	,ASPH-G,4600,100 
01791.*A,O26,LONE PINE,LONE PINE,CA,AWP,LAX,PU,36-35-19.3000N,118-02-57.8000W,PU,,General Aviation,,N,100LLA,,5,8600	,13/31	,DIRT-F,2391,90 
01791.*A,O26,LONE PINE,LONE PINE,CA,AWP,LAX,PU,36-35-19.3000N,118-02-57.8000W,PU,,General Aviation,,N,100LLA,,5,8600	,16/34	,ASPH-P,3991,60 
01794.*A,LGB,LONG BEACH /DAUGHERTY FIELD/,LONG BEACH,CA,AWP,LAX,PU,33-49-03.9143N,118-09-06.2387W,PU,I C S 05/1973,Primary,Small,Y,100LLA,AFRT  AMB  AVNCS  BCHGR  CHTR  INSTR  RNTL  SALES  SURV,318,304720	,07L/25R	,ASPH-F,6191,150 
01794.*A,LGB,LONG BEACH /DAUGHERTY FIELD/,LONG BEACH,CA,AWP,LAX,PU,33-49-03.9143N,118-09-06.2387W,PU,I C S 05/1973,Primary,Small,Y,100LLA,AFRT  AMB  AVNCS  BCHGR  CHTR  INSTR  RNTL  SALES  SURV,318,304720	,07R/25L	,ASPH-G,5421,150 
01794.*A,LGB,LONG BEACH /DAUGHERTY FIELD/,LONG BEACH,CA,AWP,LAX,PU,33-49-03.9143N,118-09-06.2387W,PU,I C S 05/1973,Primary,Small,Y,100LLA,AFRT  AMB  AVNCS  BCHGR  CHTR  INSTR  RNTL  SALES  SURV,318,304720	,12/30	,ASPH-G,10003,200 
01794.*A,LGB,LONG BEACH /DAUGHERTY FIELD/,LONG BEACH,CA,AWP,LAX,PU,33-49-03.9143N,118-09-06.2387W,PU,I C S 05/1973,Primary,Small,Y,100LLA,AFRT  AMB  AVNCS  BCHGR  CHTR  INSTR  RNTL  SALES  SURV,318,304720	,16L/34R	,ASPH-F,3330,75 
01794.*A,LGB,LONG BEACH /DAUGHERTY FIELD/,LONG BEACH,CA,AWP,LAX,PU,33-49-03.9143N,118-09-06.2387W,PU,I C S 05/1973,Primary,Small,Y,100LLA,AFRT  AMB  AVNCS  BCHGR  CHTR  INSTR  RNTL  SALES  SURV,318,304720	,16R/34L	,ASPH-F,4470,75 
02348.*A,2CL3,LONGBELL RANCH,TENNANT,CA,AWP,SFO,PR,41-38-31.5220N,121-53-25.0100W,PR,,NON-NPIAS,,N,,,0,0	,15/33	,TURF,5000,60 
02431.1*A,O54,LONNIE POOL FIELD/WEAVERVILLE,WEAVERVILLE,CA,AWP,SFO,PU,40-44-50.1000N,122-55-20.4000W,PU,,General Aviation,,N,,,7,5500	,18/36	,ASPH-F,2980,50 
01796.*A,SLI,LOS ALAMITOS AAF,LOS ALAMITOS,CA,AWP,LAX,PR,33-47-24.1159N,118-03-05.1451W,MR,,NON-NPIAS,,Y,A1+  B+,,0,0	,04L/22R	,PEM,5900,150 
01796.*A,SLI,LOS ALAMITOS AAF,LOS ALAMITOS,CA,AWP,LAX,PR,33-47-24.1159N,118-03-05.1451W,MR,,NON-NPIAS,,Y,A1+  B+,,0,0	,04R/22L	,ASPH-CONC,8000,200 
02352.33*H,1CA9,LOS ANGELES COUNTY FIRE DEPARTMENT,THOUSAND OAKS,CA,AWP,LAX,PR,34-05-00.0240N,118-52-03.3370W,PU,,NON-NPIAS,,N,,,0,0	,H1	,CONC-TURF,150,60 
01818.*A,LAX,LOS ANGELES INTL,LOS ANGELES,CA,AWP,LAX,PU,33-56-33.0011N,118-24-29.0651W,PU,I E S 05/1973,Primary,Large,Y,A,AFRT  AVNCS  CARGO  CHTR,1,635868	,06L/24R	,CONC-G,8926,150 
01818.*A,LAX,LOS ANGELES INTL,LOS ANGELES,CA,AWP,LAX,PU,33-56-33.0011N,118-24-29.0651W,PU,I E S 05/1973,Primary,Large,Y,A,AFRT  AVNCS  CARGO  CHTR,1,635868	,06R/24L	,CONC-G,10285,150 
01818.*A,LAX,LOS ANGELES INTL,LOS ANGELES,CA,AWP,LAX,PU,33-56-33.0011N,118-24-29.0651W,PU,I E S 05/1973,Primary,Large,Y,A,AFRT  AVNCS  CARGO  CHTR,1,635868	,07L/25R	,CONC-G,12091,150 
01818.*A,LAX,LOS ANGELES INTL,LOS ANGELES,CA,AWP,LAX,PU,33-56-33.0011N,118-24-29.0651W,PU,I E S 05/1973,Primary,Large,Y,A,AFRT  AVNCS  CARGO  CHTR,1,635868	,07R/25L	,CONC-G,11095,200 
01839.*A,LSN,LOS BANOS MUNI,LOS BANOS,CA,AWP,SFO,PU,37-03-50.0000N,120-52-11.5000W,PU,,General Aviation,,N,100LLA,,18,16000	,14/32	,ASPH-G,3801,75 
01845.*A,L84,LOST HILLS-KERN COUNTY,LOST HILLS,CA,AWP,LAX,PU,35-37-29.2000N,119-41-10.1000W,PU,,General Aviation,,N,,,0,1000	,15/33	,ASPH-P,3020,60 
02314.01*C,S74,LOST ISLE,STOCKTON,CA,AWP,SFO,PU,38-00-14.7200N,121-27-23.8230W,PU,,NON-NPIAS,,N,,,0,12	,NW/SE	,WATER-G,4000,300 
01535.41*A,8CL2,LUCCHETTI RANCH,ELK GROVE,CA,AWP,SFO,PR,38-25-24.6770N,121-13-38.8110W,PR,,NON-NPIAS,,N,,,0,0	,11/29	,DIRT,3000,40 
01299.8*A,5CA4,LUDLOW,BARSTOW,CA,AWP,LAX,PR,34-43-43.5700N,116-09-31.2300W,PR,,NON-NPIAS,,N,,,2,0	,08/26	,ASPH,2604,60 
01552.12*A,37CL,LYALL,ESCONDIDO,CA,AWP,LAX,PR,33-19-28.1220N,116-59-25.0980W,PR,,NON-NPIAS,,N,,,1,0	,04/22	,TRTD-DIRT,1700,50 
02320.8*A,CA05,MACHADO DUSTERS,STRATFORD,CA,AWP,SFO,PR,36-09-36.8240N,119-48-48.4730W,PR,,NON-NPIAS,,N,,,5,0	,14/32	,ASPH,2600,60 
01853.*A,MAE,MADERA MUNI,MADERA,CA,AWP,SFO,PU,36-59-19.0000N,120-06-44.8000W,PU,,General Aviation,,N,100LLA,AGRI  AVNCS  INSTR  PAJA  SALES,71,50950	,07/25	,ASPH-G,3702,150 
01853.*A,MAE,MADERA MUNI,MADERA,CA,AWP,SFO,PU,36-59-19.0000N,120-06-44.8000W,PU,,General Aviation,,N,100LLA,AGRI  AVNCS  INSTR  PAJA  SALES,71,50950	,12/30	,ASPH-G,5545,150 
01510.1*A,13CL,MAINE PRAIRIE,DIXON,CA,AWP,SFO,PR,38-22-52.6760N,121-49-24.8610W,PR,,NON-NPIAS,,N,,,9,101000	,16/34	,GRAVEL,1950,50 
01289.7*A,6CL0,MAJORS,BAKERSFIELD,CA,AWP,LAX,PR,35-31-34.0000N,119-06-06.0000W,PR,,NON-NPIAS,,N,,,0,0	,12/30	,DIRT,1000,150 
01857.*A,MMH,MAMMOTH YOSEMITE,MAMMOTH LAKES,CA,AWP,SFO,PU,37-37-26.6000N,118-50-19.5000W,PU,I B U 12/1987,Primary,Non-Hub,N,100LLA,,7,8188	,09/27	,ASPH-E,7000,100 
01896.1*A,5CL3,MAPES RANCH,MODESTO,CA,AWP,SFO,PR,37-40-04.7460N,121-11-54.7790W,PR,,NON-NPIAS,,N,,,2,0	,11/29	,DIRT,1800,125 
02115.*A,RIV,MARCH ARB,RIVERSIDE,CA,AWP,LAX,PU,33-52-54.9870N,117-15-32.4530W,MA,,Reliever,,Y,A,CARGO  CHTR,0,0	,12/30	,ASPH,3059,100 
02115.*A,RIV,MARCH ARB,RIVERSIDE,CA,AWP,LAX,PU,33-52-54.9870N,117-15-32.4530W,MA,,Reliever,,Y,A,CARGO  CHTR,0,0	,14/32	,CONC-G,13300,200 
01860.*A,OAR,MARINA MUNI,MARINA,CA,AWP,SFO,PU,36-40-53.5000N,121-45-42.0000W,PU,,General Aviation,,N,100LLA,PAJA,28,40000	,11/29	,ASPH-E,3483,75 
01866.*A,MPI,MARIPOSA-YOSEMITE,MARIPOSA,CA,AWP,SFO,PU,37-30-39.1000N,120-02-22.3000W,PU,,General Aviation,,N,100LL,,27,8200	,08/26	,ASPH-E,3306,60 
01250.*A,2CL2,MC CABE RANCH,ARBUCKLE,CA,AWP,SFO,PR,39-00-39.6260N,122-05-51.8940W,PR,,NON-NPIAS,,N,,,1,0	,14/32	,GRVL-TRTD,1500,36 
02128.*A,MCC,MC CLELLAN AIRFIELD,SACRAMENTO,CA,AWP,SFO,PU,38-40-03.5000N,121-24-02.2000W,PU,,General Aviation,,N,100LLA    A+,AFRT  AMB  AVNCS  CARGO  CHTR  INSTR  SALES,96,18000	,16/34	,CONC-G,10599,150 
01376.1*A,CRQ,MC CLELLAN-PALOMAR,CARLSBAD,CA,AWP,LAX,PU,33-07-41.7000N,117-16-48.3000W,PU,I A S 12/1996,Primary,Non-Hub,Y,100LLA,AFRT  AMB  AVNCS  CHTR  INSTR  RNTL  SALES,280,137961	,06/24	,ASPH-G,4897,150 
01740.51*A,CA42,MC CONVILLE AIRSTRIP,LAKE ELSINORE,CA,AWP,LAX,PR,33-38-37.0000N,117-25-45.0000W,PR,,NON-NPIAS,,N,,,0,0	,18/36	,GRVL,1800,50 
01370.06*A,CA62,MC MILLAN,CAMP ROBERTS,CA,AWP,SFO,PR,35-43-08.8860N,120-46-04.6290W,MR,,NON-NPIAS,,N,,,0,0	,N/S	,GRAVEL,3500,60 
01346.13*H,7CL4,MCMWTC,BRIDGEPORT,CA,AWP,SFO,PR,38-21-20.0550N,119-31-07.6450W,MN,,NON-NPIAS,,N,,,0,0	,05/23	,MATS,1007,78 
01346.13*H,7CL4,MCMWTC,BRIDGEPORT,CA,AWP,SFO,PR,38-21-20.0550N,119-31-07.6450W,MN,,NON-NPIAS,,N,,,0,0	,H1	,MATS,1000,78 
01973.*A,NXF,MCOLF CAMP PENDLETON (RED BEACH),OCEANSIDE,CA,AWP,LAX,PR,33-17-08.3180N,117-27-23.3220W,PR,,NON-NPIAS,,N,,,0,0	,09/27	,CONC,1513,72 
01780.4*A,63CN,MEADOWLARK FIELD,LIVERMORE,CA,AWP,SFO,PR,37-39-40.7500N,121-41-36.8230W,PR,,NON-NPIAS,,N,,,5,0	,07/25	,GRVL-TRTD,1860,25 
01291.*A,BFL,MEADOWS FIELD,BAKERSFIELD,CA,AWP,LAX,PU,35-26-01.9000N,119-03-27.6000W,PU,I B S 05/1973,Primary,Non-Hub,Y,100  100LLA,AFRT  AMB  AVNCS  CHTR  INSTR  RNTL  SALES  SURV,215,95532	,12L/30R	,ASPH-G,10855,150 
01291.*A,BFL,MEADOWS FIELD,BAKERSFIELD,CA,AWP,LAX,PU,35-26-01.9000N,119-03-27.6000W,PU,I B S 05/1973,Primary,Non-Hub,Y,100  100LLA,AFRT  AMB  AVNCS  CHTR  INSTR  RNTL  SALES  SURV,215,95532	,12R/30L	,ASPH-E,7703,100 
01487.12*A,69CL,MEDLOCK FIELD,DAVIS,CA,AWP,SFO,PR,38-36-55.6600N,121-44-50.8640W,PR,,NON-NPIAS,,N,,,15,0	,18/36	,ASPH,2600,50 
02371.*A,TLR,MEFFORD FIELD,TULARE,CA,AWP,SFO,PU,36-09-23.7000N,119-19-35.6000W,PU,,General Aviation,,N,100LLA,AGRI  AVNCS  CHTR  INSTR  RNTL,41,26180	,13/31	,ASPH-G,3901,75 
01886.*A,MCE,MERCED RGNL/MACREADY FIELD,MERCED,CA,AWP,SFO,PU,37-17-05.1000N,120-30-50.1000W,PU,II A S 11/1989,Commercial Service,,N,100LLA,AFRT  CHTR  INSTR  RNTL  SALES,61,63800	,12/30	,ASPH-G,5914,150 
01713.*A,KIC,MESA DEL REY,KING CITY,CA,AWP,SFO,PU,36-13-42.8000N,121-07-16.7000W,PU,,General Aviation,,N,100LLA,INSTR  RNTL,21,7862	,11/29	,ASPH-G,4479,100 
01971.*A,OAK,METROPOLITAN OAKLAND INTL,OAKLAND,CA,AWP,SFO,PU,37-43-16.5348N,122-13-16.1360W,PU,I D S 05/1973,Primary,Medium,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,250,201255	,10L/28R	,ASPH-G,5458,150 
01971.*A,OAK,METROPOLITAN OAKLAND INTL,OAKLAND,CA,AWP,SFO,PU,37-43-16.5348N,122-13-16.1360W,PU,I D S 05/1973,Primary,Medium,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,250,201255	,10R/28L	,ASPH-G,6213,150 
01971.*A,OAK,METROPOLITAN OAKLAND INTL,OAKLAND,CA,AWP,SFO,PU,37-43-16.5348N,122-13-16.1360W,PU,I D S 05/1973,Primary,Medium,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,250,201255	,12/30	,ASPH-G,10520,150 
01971.*A,OAK,METROPOLITAN OAKLAND INTL,OAKLAND,CA,AWP,SFO,PU,37-43-16.5348N,122-13-16.1360W,PU,I D S 05/1973,Primary,Medium,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,250,201255	,15/33	,ASPH-G,3376,75 
01630.*A,3CA7,METZ,GREENFIELD,CA,AWP,SFO,PR,36-19-41.8770N,121-11-11.7180W,PR,,NON-NPIAS,,N,,,7,0	,15/33	,GRAVEL,3400,50 
01960.5*A,79CL,MILHOUS RANCH,NORTH SAN JUAN,CA,AWP,SFO,PR,39-19-29.6140N,121-04-33.8280W,PR,,NON-NPIAS,,N,,,1,0	,03/21	,DIRT,2100,75 
02177.*A,NKX,MIRAMAR MCAS,SAN DIEGO,CA,AWP,LAX,PR,32-52-06.7043N,117-08-35.4782W,MN,,NON-NPIAS,,Y,,,0,0	,06L/24R	,CONC,12000,200 
02177.*A,NKX,MIRAMAR MCAS,SAN DIEGO,CA,AWP,LAX,PR,32-52-06.7043N,117-08-35.4782W,MN,,NON-NPIAS,,Y,,,0,0	,06R/24L	,PEM,8001,200 
01896.*A,MOD,MODESTO CITY-CO-HARRY SHAM FLD,MODESTO,CA,AWP,SFO,PU,37-37-33.0000N,120-57-15.9000W,PU,II A S 05/1973,Primary,Non-Hub,Y,100LLA    A1+,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,176,46934	,10L/28R	,ASPH-G,5904,150 
01896.*A,MOD,MODESTO CITY-CO-HARRY SHAM FLD,MODESTO,CA,AWP,SFO,PU,37-37-33.0000N,120-57-15.9000W,PU,II A S 05/1973,Primary,Non-Hub,Y,100LLA    A1+,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,176,46934	,10R/28L	,ASPH-G,3464,100 
01927.*A,NUQ,MOFFETT FEDERAL AFLD,MOUNTAIN VIEW,CA,AWP,SFO,PR,37-24-58.1000N,122-02-56.9000W,PU,,NON-NPIAS,,Y,A,,35,0	,14L/32R	,CONC,9197,200 
01927.*A,NUQ,MOFFETT FEDERAL AFLD,MOUNTAIN VIEW,CA,AWP,SFO,PR,37-24-58.1000N,122-02-56.9000W,PU,,NON-NPIAS,,Y,A,,35,0	,14R/32L	,ASPH,8122,200 
01899.*A,MHV,MOJAVE,MOJAVE,CA,AWP,LAX,PU,35-03-32.1919N,118-09-02.1902W,PU,,General Aviation,,Y,100LLA,INSTR,132,17489	,04/22	,ASPH-E,4746,50 
01899.*A,MHV,MOJAVE,MOJAVE,CA,AWP,LAX,PU,35-03-32.1919N,118-09-02.1902W,PU,,General Aviation,,Y,100LLA,INSTR,132,17489	,08/26	,ASPH-G,7049,100 
01899.*A,MHV,MOJAVE,MOJAVE,CA,AWP,LAX,PU,35-03-32.1919N,118-09-02.1902W,PU,,General Aviation,,Y,100LLA,INSTR,132,17489	,12/30	,ASPH-E,12503,200 
01875.1*A,8CL6,MOLLER,MAXWELL,CA,AWP,SFO,PR,39-17-18.5950N,122-11-20.9190W,PR,,NON-NPIAS,,N,,,8,0	,N/S	,ASPH-DIRT,1700,75 
01905.*A,1O5,MONTAGUE-YREKA ROHRER FIELD,MONTAGUE,CA,AWP,SFO,PU,41-43-47.9400N,122-32-40.1300W,PU,,NON-NPIAS,,N,,INSTR  RNTL,23,3800	,05/23	,TURF-G,2080,100 
01905.*A,1O5,MONTAGUE-YREKA ROHRER FIELD,MONTAGUE,CA,AWP,SFO,PU,41-43-47.9400N,122-32-40.1300W,PU,,NON-NPIAS,,N,,INSTR  RNTL,23,3800	,15/33	,ASPH-F,3360,50 
02429.2*A,CA66,MONTEREY BAY ACADEMY,WATSONVILLE,CA,AWP,SFO,PR,36-54-21.8300N,121-50-34.8320W,PR,,NON-NPIAS,,N,,,0,0	,10/28	,DIRT,2200,50 
01914.*A,MRY,MONTEREY RGNL,MONTEREY,CA,AWP,SFO,PU,36-35-13.3770N,121-50-35.1932W,PU,I B S 05/1973,Primary,Non-Hub,Y,100LLA,AFRT  AVNCS  CHTR  INSTR  RNTL  SALES,115,55179	,10L/28R	,ASPH-G,3503,60 
01914.*A,MRY,MONTEREY RGNL,MONTEREY,CA,AWP,SFO,PU,36-35-13.3770N,121-50-35.1932W,PU,I B S 05/1973,Primary,Non-Hub,Y,100LLA,AFRT  AVNCS  CHTR  INSTR  RNTL  SALES,115,55179	,10R/28L	,ASPH,7440,150 
02166.*A,MYF,MONTGOMERY FIELD,SAN DIEGO,CA,AWP,LAX,PU,32-48-56.6000N,117-08-22.5000W,PU,,Reliever,,Y,100LLA,AFRT  AMB  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES  SURV,464,224866	,05/23	,ASPH-F,3400,150 
02166.*A,MYF,MONTGOMERY FIELD,SAN DIEGO,CA,AWP,LAX,PU,32-48-56.6000N,117-08-22.5000W,PU,,Reliever,,Y,100LLA,AFRT  AMB  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES  SURV,464,224866	,10L/28R	,ASPH-G,4577,150 
02166.*A,MYF,MONTGOMERY FIELD,SAN DIEGO,CA,AWP,LAX,PU,32-48-56.6000N,117-08-22.5000W,PU,,Reliever,,Y,100LLA,AFRT  AMB  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES  SURV,464,224866	,10R/28L	,ASPH-G,3401,60 
01888.3*A,92CL,MORONIS,MERIDIAN,CA,AWP,SFO,PR,39-06-11.6140N,121-51-00.8920W,PR,,NON-NPIAS,,N,,,0,0	,16/34	,ASPH,2400,50 
02341.1*A,L94,MOUNTAIN VALLEY,TEHACHAPI,CA,AWP,LAX,PU,35-06-03.8800N,118-25-23.3010W,PR,,NON-NPIAS,,N,,GLD  INSTR  RNTL  SALES  TOW,18,50000	,09L/27R	,ASPH-DIRT-F,4890,36 
02341.1*A,L94,MOUNTAIN VALLEY,TEHACHAPI,CA,AWP,LAX,PU,35-06-03.8800N,118-25-23.3010W,PR,,NON-NPIAS,,N,,GLD  INSTR  RNTL  SALES  TOW,18,50000	,09R/27L	,ASPH-DIRT-F,4890,36 
01560.*A,EKA,MURRAY FIELD,EUREKA,CA,AWP,SFO,PU,40-48-12.2000N,124-06-46.0500W,PU,,General Aviation,,N,100LL,CHTR  INSTR  RNTL  SALES,53,65450	,12/30	,ASPH-G,3000,75 
01597.02*A,2CL9,MUSTANG,GALT,CA,AWP,SFO,PR,38-20-03.6860N,121-18-12.8160W,PR,,NON-NPIAS,,N,,,3,0	,07/25	,ASPH,4000,40 
02059.81*A,20CL,MYSTERIOUS VALLEY,POPE VALLEY,CA,AWP,SFO,PR,38-44-57.6490N,122-22-02.9220W,PR,,NON-NPIAS,,N,,,2,0	,14/32	,GRVL,3500,30 
01794.6*H,42L,NAA LONG BEACH PORT HELISTOP,LONG BEACH,CA,AWP,LAX,PR,33-45-53.0640N,118-11-58.2460W,PU,,NON-NPIAS,,N,,,2,0	,H1	,ASPH,105,75 
01933.*A,APC,NAPA COUNTY,NAPA,CA,AWP,SFO,PU,38-12-47.5000N,122-16-50.5000W,PU,,Reliever,,Y,100LLA,CHTR  INSTR  RNTL  SALES,175,53953	,06/24	,CONC-F,5007,150 
01933.*A,APC,NAPA COUNTY,NAPA,CA,AWP,SFO,PU,38-12-47.5000N,122-16-50.5000W,PU,,Reliever,,Y,100LLA,CHTR  INSTR  RNTL  SALES,175,53953	,18L/36R	,ASPH-F,2510,75 
01933.*A,APC,NAPA COUNTY,NAPA,CA,AWP,SFO,PU,38-12-47.5000N,122-16-50.5000W,PU,,Reliever,,Y,100LLA,CHTR  INSTR  RNTL  SALES,175,53953	,18R/36L	,CONC-G,5930,150 
01938.*A,EED,NEEDLES,NEEDLES,CA,AWP,LAX,PU,34-45-58.8486N,114-37-23.8076W,PU,,General Aviation,,N,100LLA,AMB,13,10500	,02/20	,ASPH-F,4235,100 
01938.*A,EED,NEEDLES,NEEDLES,CA,AWP,LAX,PU,34-45-58.8486N,114-37-23.8076W,PU,,General Aviation,,N,100LLA,AMB,13,10500	,11/29	,ASPH-G,5005,100 
01307.*A,O02,NERVINO,BECKWOURTH,CA,AWP,SFO,PU,39-49-06.7000N,120-21-10.1000W,PU,,General Aviation,,N,100LL,INSTR  RNTL  SALES,16,12000	,08/26	,ASPH-G,4651,75 
01626.*A,GOO,NEVADA COUNTY AIR PARK,GRASS VALLEY,CA,AWP,SFO,PU,39-13-26.5000N,121-00-11.1000W,PU,,General Aviation,,N,100LLA,AFRT  CHTR  INSTR  RNTL,135,27750	,07/25	,ASPH-G,4351,75 
01419.13*A,C80,NEW COALINGA MUNI,COALINGA,CA,AWP,SFO,PU,36-09-43.6000N,120-17-41.4000W,PU,,General Aviation,,N,100LL,,9,2400	,01/19	,ASPH-GRVL-P,2471,60 
01419.13*A,C80,NEW COALINGA MUNI,COALINGA,CA,AWP,SFO,PU,36-09-43.6000N,120-17-41.4000W,PU,,General Aviation,,N,100LL,,9,2400	,12/30	,ASPH-G,5000,100 
01943.*A,L88,NEW CUYAMA,NEW CUYAMA,CA,AWP,LAX,PU,34-56-23.8000N,119-41-08.1000W,PR,,NON-NPIAS,,N,,,0,500	,10/28	,ASPH-P,3940,60 
02358.*A,1Q4,NEW JERUSALEM,TRACY,CA,AWP,SFO,PU,37-40-40.0000N,121-18-04.3000W,PU,,NON-NPIAS,,N,,,0,4000	,12/30	,ASPH-G,3530,60 
02320.*A,12CL,NEWTON FIELD,STRATFORD,CA,AWP,SFO,PR,36-09-24.8250N,119-50-58.4760W,PR,,NON-NPIAS,,N,,,2,0	,14/32	,ASPH-G,2790,40 
02005.*A,8CL0,NICHOLS FARMS,PALMDALE,CA,AWP,LAX,PR,34-35-19.9690N,117-49-33.2290W,PR,,NON-NPIAS,,N,,,1,0	,10/28	,TURF,2600,100 
02204.*A,SJC,NORMAN Y MINETA SAN JOSE INTL,SAN JOSE,CA,AWP,SFO,PU,37-21-45.6000N,121-55-44.8000W,PU,I C S 05/1973,Primary,Medium,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,130,142210	,12L/30R	,CONC-G,11000,150 
02204.*A,SJC,NORMAN Y MINETA SAN JOSE INTL,SAN JOSE,CA,AWP,SFO,PU,37-21-45.6000N,121-55-44.8000W,PU,I C S 05/1973,Primary,Medium,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,130,142210	,12R/30L	,CONC-G,11000,150 
02178.*A,NZY,NORTH ISLAND NAS /HALSEY FIELD/,SAN DIEGO,CA,AWP,LAX,PR,32-41-53.5005N,117-12-47.1749W,MN,,NON-NPIAS,,Y,,,0,0	,11/29	,PEM,7500,200 
02178.*A,NZY,NORTH ISLAND NAS /HALSEY FIELD/,SAN DIEGO,CA,AWP,LAX,PR,32-41-53.5005N,117-12-47.1749W,MN,,NON-NPIAS,,Y,,,0,0	,18/36	,PEM,8001,200 
01327.03*A,9CA6,NORTH VALLEY,BISHOP,CA,AWP,PHX,PR,37-52-08.7490N,118-05-42.3930W,PR,,NON-NPIAS,,N,,,2,0	,16/34	,DIRT,5300,100 
